4	[ ... ] my friend [ ... ]
5	"[li]ke a kettledrum let your cr[y] boom [ ... ]
6	let [ ... ] be firm [ ... ]"
9	[ ... ] Gil[gameš ... ]
11	[ ... ] a prop(?) [ ... ]
12	at [ ... ] he leapt [ ... ]
13	[ ... Gi]lgameš [ ... ]
14	"When, my friend, [ ... ] the [ ... ] of Humbaba came walking,
15	a footpath was worn, the track running straight [ ... ]
16	We have come — a place past refusing(?); your arm [ ... ]
17	Let us set the weapon at the gate of Huwawa [ ... ]"
18	[ ... ] he took [ ... ] the hard one(?) of the open land;
19	[he sai]d to his friend, "A stroke of storm-wind —
20	[Huwawa, like] Adad, will thunder up against us!
36	In the very woods [ ... ]
37	[ ... ] they saluted him; he set his face toward the terror-glories [ ... ]
38	"To fail(?) is life no longer — we are dead men, Gilgameš(?) [ ... ]
39	Your far one(?) [ ... ] his skull, without [ ... ]
40	Look — [ ... ] let him look on the trees [ ... ]
41	Spare the [pl]edge of my life, Gilgameš, in [ ... ]
42	The cow of the Sheepfold bore you — Ninsumuna!
43	Before you [we]nt up my mountains(?) [ ... ] of my night [ ... ]
44	By the mouth of Šamaš the ferocious, the fighter, he heard [ ... ]
45	The mountains, Gilgameš, [ ... ]
46	Let me guard for you cedar, cypress, juniper, the towering trees,
47	timber [f]it for a palace." — The one born of the open land knows how to counsel;
48	"My [f]riend — Humbaba is a man(?) no [ ... ] not [ ... ]
49	[ ... ] Sîn [ ... ]
50	[ ... ] the trees(?) [ ... ]
57'	[ ... ] weary, to [ ... ]
