1	Gilgameš rose to unravel a dream,
2	saying to his mother:
3	"Mother, in the course of my night
4-5	I walked abroad, brimming with pride, among the young men.
6	The stars of the sky came out for me;
7	a l[u]mp of the sky-rock of Anu fell down at me.
8	I lifted it: it was too heavy for me;
9	I heaved at it: I could not shift it.
10	The land of Uruk gathered about it;
11	the young men were kissing its feet.
12-13	I set my brow to it; they braced with me;
14	I lifted it up and carried it to you."
15	The mother of Gilgameš, who knows everything,
16	said to Gilgameš:
17	"Likely, Gilgameš, one like yourself
18-19	was born on the open land, and the hills have raised him.
20	You will see him — and you will rejoice;
21	the young men will be kissing his feet;
22-23	you will hug him and lead him here to me."
24	He lay down, and he saw a second;
25	he rose and spoke to his mother:
26	"Mother, I have seen a second:
27-28	[ ... ] in the street [of Uru]k-of-the-Squares
29-30	an axe was lying, and around it they gathered,
31	an axe — and strange was the look of it.
32	I saw it, and I rejoiced;
33-34	I loved it like a wife, murmuring over it;
35-36	I took it up and set it at my side."
37-38	The mother of Gilgameš, clever, expert, all-knowing, [said] t[o Gilgameš:]
43	"— because I shall make him your equal."
44	While Gilgameš unravels the d[re]am,
45	Enki[du sat] before the harlot;
46	the two of them fell to lo[vi]ng one another.
47	He forgot the open la[n]d where he was born.
48	For seven days and seven nights
49-50	En[kidu,] aroused, poured himself into Ša[mha]t.
51	The har[lot] shaped her [m]outh
52	and said to Enkidu:
53	"I look at you, Enkidu: you are become like a god.
54-55	Why go roving the open land with the beasts?
56-57	Come — let me lead you into [Uru]k-of-the-Squares,
58	to the holy house, the seat of Anu.
59	Enkidu, rise; let me take you
60	to [Eann]a, the s[e]at of Anu,
61	where the rites are [est]ablished —
62-63	and you t[oo, li]ke a man, will fi[nd yourself] a place there.
64-65	Enough! You are set(?) on ground that is a shepherd's beat."
66	He heard her w[o]rd; her speech found favor:
67-68	the coun[s]el of the woman st[r]uck home in his heart.
69-70	She stripped [off] a single garment and clothed him in it;
71-72	in a second garm[e]nt she dressed herself.
73-74	Holding his hand, like a god she leads him
75-76	to the shepherds' cam[p], the pl[a]ce of the sheep-pen.
77	The shepherds gathered around him:
78-79	"Lik[e ... ]
80	[Why, he is the image of Gilgameš in outline —]
81-82	[shorter in stature, but big in the bone!]
83-84	[Likely it is he who was born in the hills:]
85-86	the milk of the wild beasts is what he sucked."
87	They set bread before him:
88-89	he squints, and he stares, and he peers —
90-91	Enkidu does not know bread for eating;
92-93	beer for drinking he has never learned.
94-95	The harlot shaped her mouth and said to Enkidu:
96-97	"Eat the bread, Enkidu — the mark of life;
98	drink the beer — the custom of the land!"
99-100	Enkidu ate the bread until he was full;
101-102	of the beer he drank seven goblets.
103	His mood ran free; he was singing;
104-105	his heart grew light, and his face began to shine.
106-107	The barber worked over his shaggy body;
108-109	he anointed himself with oil and turned into a man;
110-111	he put on a garment: there he is — like a bridegroom!
112-113	He took his weapon; he went hunting lions;
114	the sh[ephe]rds could lie down at night:
115-116	he battered the wo[l]ves; he chased off the lions;
117	the senior herdsmen slept —
118-119	Enkidu was their watchman, a wakeful man.
120-121	A certain young man was hu[rr]ying to the [weddin]g(?)-house,
122	to [ ... ]
135-136	With [Ša]mkat he is making merry;
137-138	then he raised his eyes: he caught sight of the man.
139	He said to the harlot:
140	"Šamkat — fetch the man away.
141-142	Why has he come? His errand I would hear."
143	The harlot hailed the man;
144	she came up to him; he talked with her:
145	"Young man — where are you hurrying?
146	What is your toilsome march for?"
147	The young man shaped his mouth
148	and said to E[nkidu:]
149	"They have invited me into the wedding-house:
150-151	it is the lot of the people to contract the marriage-tie.
152	I shall heap the ceremonial table
153	with the merry fare of the wedding-house —
154	for the king of Uruk-of-the-Squares
155	the people's veil(?) stands open for the taking of the bride;
156	for Gilgameš, king of Uruk-of-the-Squares,
157-158	the people's veil(?) stands open for the taking of the bride:
159	he couples with the destined wife —
160-161	he first, and the husband after.
162	By the counsel of the god it is decreed:
163-164	from the cutting of his birth-cord she was appointed his."
165-166	At the young man's word his face went pale.
174	"[ ... ] let me se[e] your [in]tent [ ... ]"
175-176	He goes i[n front,] and Šamka[t] behind him.
177	He entered inside Uruk-of-the-Squares,
178	and the crowd gathered about him;
179-180	he stood there in the street of Uruk-of-the-Squares,
181-182	and the people, gathered, were talking over him:
183	"Why, he is the image of Gilgameš in outline —
184-185	[sh]orter in stature, but [b]ig in the bone!
186-187	Li[kely it is he who] was born in [the h]ills:
188-189	the milk of the wild bea[st]s is what he sucked."
190	In Uruk the regular offerings were laid on;
191-192	the young men made holiday; a champion was set up
193	for the young man whose looks were fair —
194-195	for Gilgameš, as for a god, a counterpart was set up.
196-197	For Išhara the bed was laid,
198-199	and Gilgameš was to jo[i]n with the girl that night.
200-201	Then he came striding up — he took his sta[nd] in the street
202-203	and block[ed the p]ath of Gilgameš.
204	[The young men(?) massed] around him.
208	He loo[ms(?) ... ]
209	Gilgameš [ ... the do]or(?) [ ... ]
210	against hi[m ... ]
211	he loom[s(?) ... ]
