10-11	"[ ... ] why, my friend, does your body flinch(?)?
12-13	W[hy] do you long to do t[h]is thing —
14-15	[ ... ] anything [ ... ] you long for it so hard —
17	a work that has [never y]et been in the land?"
18-19	They kissed each other and made their friendship;
20	[ ... ] they took counsel together;
21	[ ... ] they sat down.
24	"[I have got the friend, the co]unsellor, I mysel[f —]
25	[the one I kept seeing i]n dreams!"
40	[ ... the fri]end(?)
41	[ ... ] they gave charge [ ... ]
42-43	they returned wo[r]d [to] the harl[o]t:
44	"[Let them ent]er the house of the [el]ders."
56	"[ ... ] in [your] presence
57	a rival [ ... ]
58	Set for him [ ... ]"
59	The wailing-wo[men ... ]
60	The mother of G[ilgameš ... ]
61	at [his] ga[te ... ]
62	who [ ... ]
63	in the sq[uare of ... ]
65	bit[terly ... ]
66	"E[nkidu] has no [kith or kin ... ]
68	[his hair grows ran]k [ ... ]"
70	[ ... Enkid]u:
71	[his] ey[es fill]ed with te[ars;]
72-73	his heart [ached,] and he sighed [bitterly(?);]
74	[the eyes of E]nkidu filled with tears;
75-76	his heart [ached,] and he sighed [bitterly(?).]
77	[Gilgameš t]urned his face to him,
78	[saying] to Enkidu:
79-80	"[Why, my frien]d, did your eyes [fill] with tears,
81-82	[your hea]rt [ache, and you si]gh [bitterly(?)?"]
83	E[nkidu shaped his mouth]
84	and said to Gilgameš:
85-86	"Sobs, my friend, have knotted the muscles of my neck;
87-88	my arms went slack, and my strength turned feeble."
89	Gilgameš shaped his mouth
90	and said to Enkidu:
97	"[ ... H]uwawa the ferocious —
98-99	[ ... let us s]lay [hi]m, [so his po]wer [is gon]e!
100-101	[In the] Cedar [Forest, where Huwaw]a dwells,
102-103	[let us fri]ghten him [i]n his lair!"
104	[Enki]du shaped his mouth
105	and said to Gilgameš:
106	"I came to know it, my friend, in the hills,
107	when I roved about with the herd:
108	for sixty leagues in every direction the forest is a wilderness —
109	who is there would go down into its heart?
110	[Huw]awa — his voice is the Flood;
111-112	his mouth is fire, and his breath is death.
113-114	Why do you long to do this thing?
115-116	An unwinnable fight is the lair of Huwawa!"
117	[Gilga]meš shaped his mouth
118	[and sai]d to Enkidu:
119	"[As for the forest, my f]riend — I will go up its slopes,
122	to [ ... ]
123	the dwelling of the god[s,] the A[nunnaki ... ]
124	The hatche[t ... ]
125	You, fo[r your part ... ;]
126	I, for m[y part ... ]"
127	Enkidu sha[ped] his mouth
128	and said t[o Gilgameš:]
129-130	"How can w[e] go, my [friend,] to the Forest of C[edar?]
131-132	Its guardian is Wēr — st[rong,] unsleeping;
133	Huwawa — Wē[r ... ]
134-135	Adad is fi[rst;] he [is second.]
136	So as to keep [the cedar] safe,
137	[Enlil(?)] app[ointed him] the seven terrors."
138	Gilgameš shape[d] his mouth
139	and said to E[nkidu:]
