1'	[ ... ] wild bulls in their herds(?) [ ... ]
2'	[He has pu]t on their skins; he eats their flesh.
3'	Gilgameš [du]g(?) wells that never existed before;
4'	he [dr]ank the water as he chased the winds.
5'	Šamaš grew troubled; he bent down to him,
6'	saying to Gilgameš:
7'	"Gilgameš — where are you wandering?
8'	The life you keep hunting you will not find."
9'	Gilgameš said to him, to the fighter Šamaš:
10'	"After all my roving up and down the open land,
11'	will there be rest enough inside the earth?
12'	And I shall lie asleep there all the years!
13'	No — let my eyes look on the sun; let me have my fill of the light.
14'	Is the darkness far off? How much light is left?
15'	When may a dead man ever see the sun's bright glare?"
a+1	"[My friend, whom I loved so hard,]
a+2	who went with me through every hardship —
a+3	Enkidu, whom I loved so hard,
a+4	who went with me through every hardship —
a+5	he has gone to the lot of mankind.
a+6	Day and night I wept over him;
a+7	I would not give him up for burial —
a+8	'Perhaps my friend will rise at my cry!' —
a+9	seven days and seven nights,
a+10	until a worm dropped out of his nose.
a+11	Since he went, I have not found life;
a+12	I keep roaming like a bandit through the middle of the open land.
a+13	Now, ale-wife, that I have seen your face —
a+14	the death I dread without cease, may I not see it!"
a+15	The ale-wife said to him, to Gilgameš:
a+16	"Gilgameš — where are you wandering?
a+17	The life you keep hunting you will not find.
a+18	When the gods created mankind,
a+19	death they set aside for mankind;
a+20	life they kept fast in their own hands.
a+21	You, Gilgameš — let your belly be full;
a+22	keep making holiday, day and night;
a+23	every single day make a feast of gladness;
a+24	day and night, dance and play.
a+25	Let your clothing be clean and bright;
a+26	let your head be washed; be bathed in water.
a+27	Gaze at the little one holding your hand;
a+28	let a wife delight, again and again, in your lap.
a+29	Such is the destiny [of mortal men(?)] —
a+30	that the one who lives [may live his share(?).]"
a+31	Gilgameš said to h[er, to the ale-wife:]
a+32	"What is this you say, my ale-wife? [ ... ]
a+33	For my friend my heart is si[ck ... ]
a+34	What is this you say, my ale-wife? [ ... ]
a+35	For Enkidu my heart is si[ck ... ]
a+36	You dwell, my ale-wife, at the ed[ge of the sea(?);]
a+37	you have seen your whole heart, ev[ery ... ]
a+38	Show me the track [ ... ]
a+39	If it can be done, [let me cross(?)] the sea!"
a+40	The ale-wife said to h[im, to Gilgameš:]
a+41	"There has never, Gilgameš, been one like you [ ... ]
a+42	Who wa[lks ... ?] Wh[o ... ?]
a+43	No o[ne(?) ... ]"
b+1	Those he smashed in his fury;
b+2	then he came back and stood over him.
b+3	Sursunab[u] looks him in the eyes;
b+4	Sursunabu said to him, to Gilgameš:
b+5	"What is your name? Tell it to me."
b+6	"I am Sursunabu, (the man) of Ūta-naʾištim the Far-away."
b+7	Gilgameš said to him, to Sursunabu:
b+8	"Gilgameš is my name — I,
b+9	who have come from Uruk-Eanna,
b+10	who have wound my way round the mountains,
b+11	the far road of the sun's coming forth.
b+12	Now, Sursunabu, that I have seen your face —
b+13	show me Ūta-naʾištim the far one!"
b+14	Sursunabu said to him, to Gilgameš:
b+16	"[ ... Ūta-naʾištim] the far one
b+17	[ ... you shall b]oard the boat
b+18	[ ... ] let me bring you to him."
b+19	The two of them [sat do]wn, taking counsel together;
b+20	then he speaks a word to him:
b+21	[S]ursunabu said to him, to Gilgameš:
b+22	"The Stone Ones, Gilgameš, were my ferrymen,
b+23	so that I need not touch the Waters of Death —
b+24	and in your fury you have smashed them.
b+25	The [S]tone Ones — they were with me [for] the crossing.
b+26	[Tak]e up, Gilgameš, the axe in your hand;
b+27	cut three hundred [punting-p]oles of willow(?);
b+28	[trim them(?)] and fit the bindin[gs;]
b+29	[ ... ] in [ ... ]"
