1	He who saw the wellspring, the ground-course of the land,
2	[who knew the way]s, was wise in everything —
3	[Gilgameš, who] saw the wellspring, the ground-course of the land,
4	[who knew the way]s, was wise in everything.
5	He surveyed the shrines everywhere alike;
6	he knew the sum of the wisdom of all things.
7	He saw the guarded thing, uncovered the covered,
8	brought back word of the time before the Flood.
9	He walked the long road, worn out, and was stilled.
10	He fixed on a stone stela the whole of his labor.
11	He built up the rampart of Uruk-the-Sheepfold,
12	of hallowed Eanna, the shining storehouse.
13	Look at its wall, its coping like carded wool;
14	study its parapet, which no one can copy.
15	Take the stair that has stood from the first days;
16	go close to Eanna, the dwelling of Ištar,
17	which no later king — no one at all — can copy.
18	Go up on the wall of Uruk; walk its circuit.
19	Test the platform; consider the brickwork:
20	is its brick not brick fired in a kiln?
21	Did the Seven Counsellors not lay down its footing?
22	[A šār] of city, a šār of orchard, a šār of clay-pit, the open ground of Ištar's house:
23	three šār and the open ground — the survey of Uruk.
24	[Open] the tablet-box of cedar;
25	[undo] its clasps of bronze;
26	[open] the door on its guarded thing;
27	[lift] out the tablet of lapis lazuli and read aloud
28	[everyth]ing Gilgameš went through, all the hardship.
29	[Surp]assing all kings, celebrated, lordly of stature,
30	[he]ro born of Uruk, wild bull always butting:
31	he goes in front, the foremost,
32	and he goes behind, the trust of his brothers —
33	a strong bank, the shelter of his troops,
34	a furious flood-wave that wrecks a wall of stone.
35	Wild bull of Lugalbanda, Gilgameš, perfect in strength,
36	suckling of the august cow, of Wild-Cow Ninsun:
37	towering Gilgameš, perfect, dread-inspiring,
38	opener of passes through the mountain-ranges,
39	digger of wells on the mountains' flank,
40	crosser of the ocean, the wide sea, as far as sunrise,
41	scanner of the world's rims, forever hunting life,
42	who reached by main strength Ūta-napišti the Far-away,
43	restorer of cult-towns that the Flood destroyed,
44	establisher of rites for the teeming peoples.
45	Who is there to rival him in kingship
46	and say, like Gilgameš, "It is I who am king"?
47	Gilgameš was his name from the day of his birth,
48	two-thirds of him god and one-third of him human.
49	The Lady-of-the-Gods drew the form of his body;
50	Nudimmud brought his figure to perfection.
51	[ ... ] majestic of stature [ ... ]
52	[ ... ] eleven cubits [was his height,]
53	[four cubits] the span [of his chest;]
54	a triple cubit his foot, half a rod his stride,
55	six cubits the reach of [his legs,]
56	[three cu]bits the forelock of his cheek;
57	his cheeks were bearded like [lapis lazuli,]
58	the locks of his hair sprou[ting rank as barley.]
59	Grown to his full height, perfect in his splen[dor,]
60	by earthly reckoning he was made most fair.
61	In the Sheepfold of Uruk he goes st[riding];
62	he lords it like a wild bull, head carried high.
63	He has no rival when his weapons are raised;
64	at the ball-game his companions are kept on their feet.
65	The young men of Uruk he harries without cause,
66	and Gilgameš lets no son go free to his fa[ther;]
67	[da]y and [nig]ht he storms with growing fury —
68	[Gilgā]meš, k[ing of the teeming peoples,]
69	he, the shep[herd] of Uruk-the-Sheep[fold] —
70	and Gilgameš lets no [daughter go free to] her mother.
71	[He is their wild bull;] they are the cows.
72	Their com[plaint went up ... ]
73	Mighty one, [splendid, expert ... ]
74	Gilgameš lets [no] girl go free t[o her bridegroom,]
75	the warrior's daughter, the young man's br[ide.]
76	Their complaint Iš[tar] he[ard again and again;]
77	[the god]s of heaven, the lords of comm[and:]
78	[ ... ] ... [ ... ]
79	"You made rear up in Uruk-the-Sheepfold a battering wild bull:
80	he has no rival when his weapons are raised;
81	at the ball-game his companions are kept on their feet.
82	The young men of Uruk he harries without cause;
83	Gilgameš lets no son go free to his father;
84	day and nig[ht he storms] with growing fury —
85	he, the shepherd of Uruk-the-Sheepfold,
86	Gilgameš, [the herdsman of the teeming peo]ples —
87	he is their shepherd, and yet [ ... them;]
88	[m]ighty, splendid, expert [ ... ]
89	Gilgameš lets no girl go free to her b[ridegroom,]
90	the warrior's daughter, the young man's bri[de."]
91	Their complaint [Anu] heard again and again.
92	They cried out to Aruru, the great one:
93	"You, Aruru, made mankind;
94	now build the double of him —
95	to the storm of his heart let it be equal.
96	Let them contend with each other, and Uruk find q[uiet."]
97	When Aruru heard this,
98	she built inside her the double that Anu spoke.
99	Aruru washed her hands,
100	pinched off clay, cast it down in the open land.
101	In the open land she built Enkidu, a fighting man,
102	offspring of stillness, knotted hard by Ninurta.
103	All his body is shaggy with hair,
104	his head of hair grown out like a woman's,
105	its locks sprouting rank as barley.
106	He knows no people, no land at all;
107	he goes dressed like Šakkan.
108	With the gazelles he eats grass;
109	with the herd he crowds in at the watering-place;
110	with the beasts of the steppe his heart is glad at the water.
111	A hunter, a man who sets snares,
112	came up against him at the lip of the watering-place —
113	one day, a second, a third, at the lip of the watering-place.
114	The hunter saw him, and his face went dead-still.
115	He and his herd — it went back into its lair,
116	while he, [tro]ubled, fell dumb, fell still;
117	his heart [ ... ], his face went dark,
118	misery lodged in his belly,
119	his face like one come off a long road.
120	The hunter shaped [his mouth] to speak, saying [to his father:]
121	"Father, there is a young man who ca[me here] —
122	in [all the land] his strength [is] the strongest;
123	his might is as hard [as a lump] of the sky-rock of Anu.
124	[He roa]ms over the hills all [the time;]
125	all the time with the herd [I see him] grazing;
126	all the time his [fe]et [are planted] at the lip of the watering-place.
127	[I am afraid; I dare no]t go near h[im.]
128	[He fills in the pi]ts I myself dig;
129	[he tears out the] traps I sp[read;]
130	[he frees from my hands] the herds, the beasts of the ste[ppe;]
131	he will not let me work the steppe."
132	[His father shaped his mouth to spe]ak, saying to the hunter:
133	["Go, my son. Inside] Uruk [lives] Gilgameš:
134	[ ... ] over him;
135	his might is as hard [as a lump of the sky-rock of Anu.]
136	[Take the road; toward Uruk se]t your face.
137	[ ... ] the strength of a man.
138	[Go, my son, and lead back with you the harlot Šamhat;]
139	[ ... ] like a strong one.
140	[When the herd comes do]wn [to] the watering-place,
