1	"[Come back in safety to the quay of] Uruk!
2	Do not trust, Gilgameš, in the whole of your strength:
3	let your eyes drink their fill; make your blow sure.
4	The one who goes in front resc[ues] his companion;
5	the one who knows the track protects his friend.
6	Let Enkidu go before you:
7	he knows the road of the Cedar Forest;
8	he has looked on battle and is schooled in combat.
9	Let Enkidu guard the friend, keep the companion safe;
10	let him carry him home in his arms to the brides.
11	In our assembly we have entrusted the king to you:
12	you will bring him back and entrust the king to us."
13	Gilgameš shaped his mouth to speak,
14	saying to Enkidu:
15	"Come, my friend, let us go to Egalmah,
16	into the presence of Ninsun, the great queen.
17	Ninsun is clever, expert, all-knowing;
18	she will set a well-counselled footing under our feet."
19	They took each other hand in hand:
20	Gilgameš and Enkidu went to Egalmah,
21	into the presence of Ninsun, the great queen.
22	Gilgameš rose and entered before the g[oddess his mother;]
23	Gilgameš said to her, to N[insun:]
24	"Ninsun, I am set hard on it — [I go]
25	the long road to the place of H[umbaba;]
26	I will fa[ce] a combat I have not known;
27	[I will rid]e a [cam]paign I have not known.
28	I beg you: bless me, that I may go —
29	that I may see your face again in safe[ty]
30	and re-enter the gate of Uruk with a glad hear[t;]
31	that I may come back and hold the New Year feast twice over in one year —
32	hold the New Year feast twice in one year!
33	Let the feast be set; let the merrymaking begin;
34	let the drums rattle out in your presence!"
35	[Wild-Cow N]insun heard with grief
36	the words of Gilgameš her son and of Enkidu.
37	Seven times she entered the bathhouse;
38	[she puri]fied herself in water of tamarisk and soapwort.
39	[She put on] a fine robe, the ornament of her body,
40	[and ... ], the ornament of her breast;
41	[her ... ] was set in place, and she wore her crown.
42	[ ... ] harlots(?) ... the ground.
43	She cl[imbed the] stair; she went up on the roof;
44	on the roof she set incense be[fo]re Šamaš;
45	she set the offe[ring, and be]fore Šamaš she raised her arms:
