1	They stood there marvelling at the forest,
2	gazing and gazing at the height of the cedars,
3	gazing and gazing at the forest's entryway.
4	Where Humbaba walked, a footpath was worn:
5	the trails ran straight; the going was good.
6	They saw the Cedar Mountain,
7	the dwelling of gods, the dais of the goddesses:
8	on the [f]ace of the mountain the cedar carried its abundance,
9	its shade [sw]eet, full of gladness.
10	Thornbush [tan]gled over; the [fores]t was a thicket-roof;
11	[ ... ] cedar, ballukku-trees — and there was no way in.
12	For a full league the cedar [sent up] saplings,
13	the cypress [ ... ] for two-thirds of a league;
14	[up to si]xty cubits' height the cedar was scaled with burls,
15	[and the re]sin [ooz]ed out, drizzling down like rain,
16	[to ru]n away in the gullies it fed.
17	[Through a]ll the forest a bird kept trilling;
18	[ ... ] answered one another; the din kept [thro]bbing.
19	A lone(?) cricket struck up the chorus;
20	[ ... ] kept singing loud, making [ ... ] pipe up;
21	a wood-pigeon [moa]ns; a turtle-dove calls in answer.
22	[At the cry] of the stork the forest rejoices;
23	[at the cry] of the francolin rejoices the forest of plenty.
24	[Mother a]pes keep up their loud song; a baby ape shrills —
25	[like a ba]nd of drummers and pipers
26	they beat out the rhythm every day before Humbaba.
27	The cedar [thre]w down its shadow —
28	[and dre]ad fell on Gilgameš.
29	[Numbness sei]zed his arms;
30	palsy fell upon his knees.
31	[Enkidu] shaped his [m]outh to speak, saying to Gilgameš:
32	"[Let us go do]wn into the heart of the forest:
33	[op]en [your hand;] let us set up the war-cry!"
34	[Gilgame]š shaped his mouth to speak, saying to Enkidu:
35	"[Why, my f]riend, do we tremble like weaklings —
36	[we who] have crossed over all of them, every mountain-range,
37	[ ... ] ... before us?
38	Before we have cut down [ ... ]
39	My [frie]nd, schooled in fighting,
40	the one who has looked on battle has no dread of death.
41	You have smeared yourself with [bloo]d; you do not dread death.
42	[Ra]ge up! Like a fury whip your senses spinning;
43	[li]ke a kettledrum let [your] c[ry] boom out.
44	Let the numbness quit your arms, the palsy rise [from] your [kn]ees.
45	Take hold, my friend: as one we [ ... ]
46	Let your heart [spea]k battle:
47	forget death; [hunt] life!
48	[The one at] the flank is a watchful man;
49	[the one who] goes in front keeps himself whole — and keeps his companion safe:
50	[to] their [far-off d]ays those two have set up a name."
51	The two of them arrived at the [ ... ] far-off place;
52	they [brought] their talk [to an end;] they stood still.
53	[They stood there,] marvelling at the fore[st.]
55	Fr[o]m their places the swords [were drawn ... ];
56	from the sheaths [ ... ];
57	the ha[tch]ets were smeared [ ... ];
58	ax[e and] swords in [ ... ];
59	one by [one ... ]
60	they crept for[ward ... ]
61	Humbaba was mu[ttering to himself, saying in his heart:]
