1	"My friend — for what reason were the great gods taking counsel?"
28	Enkidu [shaped] his m[outh to speak,]
29	saying [to Gilgameš:]
30	"Come, my f[riend ... ]"
31	In [ ... ]
32	The door [ ... ]
33	Because [ ... ]
36	In [ ... ]
37	Enkidu lifted [his eyes ... ]
38	and was talking with the door as with [a man:]
39	"Door of the grove, [wi]tless, [ ... ] —
40	awareness is in you that is not the[re ... ]
41	For twenty leagues I picked out your timber [ ... ]
42	until I found the towering cedar [ ... ]
43	Your wood was without rival [ ... ]
44	Six rods your height, two rods your breadth, one [cubit] yo[ur thick]ness;
45	your pole, your pivot-sockets top and bottom, all of one piece.
46	I made you, I carried you to Nippur, I set you up.
47	Had I known, door, that this was [your recom]pense,
48	had I known, door, that this was your gratitude,
49	I would have lifted the axe; I would have chopped y[ou down;]
50	I would have floated y[ou] on a raft [t]o Ebabbara —
51	[to] Ebabbara, the temple of Šamaš, I would have sh[ipped you;]
52	[in the gate(?) of] Ebabbara I would have pla[nted] the cedar;
53	[in] its doorway I would have stood the Anz[û-bird ... ;]
54	[ ... ] your entryways [ ... ]
55	I would have [ ... ] of the city [ ... ] Ša[maš,]
56	and in Uruk [ ... ,]
57	because Šamaš he[a]rd my word
58	and in the day of [ ... ] ga[ve] me the weapon.
59	Now, door — it was I who made you, I who carried y[ou;]
60	shall it be [I] who tears you down?
61	May a king who comes up after me detest you;
62	may [ ... ] hang(?) you out of sight;
63	may he efface my name and set up his own!"
64	He wrenched out [ ... ] — flung it down.
65	He (Gilgameš) kept listening to his words, and quick, at once, his [tears kept fl]owing;
66	Gilgameš kept lis[tening] to the words of Enkidu his friend,
67	[and quick, at once,] his tears [kept flo]wing.
68	Gilgameš shaped his mouth to speak, saying to Enkid[u:]
69	"[My friend ... ] eminent —
70	[you who have] sense and reason — do you now talk profanity?
71	[Wh]y, my friend, did your heart talk profanity [ ... ?]
72	[The dream was pr]ecious, and the terror of it great;
73	[your lips(?)] are twitching like flies;
74	[the dread is g]reat, but the dream is a rare thing.
75	To the liv[in]g one it left mourning:
76	[the dea]d left misery to the one who lives on.
77	[I will pl]ead, I will pray to the great gods;
78	I will se[ek out Šamaš(?);] I will appe[al] to your god;
79	I will pr[ay to Anu,] father of the gods, [in your presence(?);]
80	[may] Enlil the great counsellor [hear my] pray[ers] in your presence;
81	I will make suppli[cation ... ;]
82	I will fashion your statue in [gol]d without measure!"
84	"[My friend, s]ilver — give none; gold — do n[ot ... ;] do not [ ... !]
85	[What Enl]il commanded is not like (the words) of the (other) gods, which [ ... ;]
86	[what he c]ommanded, he does not go back on, does not er[ase;]
87	[what] he laid down(?) he does not go back on, does not erase.
88	My friend — [my lot(?)] is dra[wn ... :]
89	people go to their graves before their time."
90	At the first of the morning's brigh[teni]ng
91	Enkidu li[ft]ed his head, lam[enting] before Šamaš;
92	be[f]ore the rays of Šamaš his tears kept flow[ing:]
93	"[I app]eal to you, Šamaš, over the life that is precious to [me] —
94	as for [him,] the hunter, the snaring man,
95	who did not let me get all my friend got:
96	may the [hunt]er not get all his friend gets!
97	Wipe out his profit; cut his takings down;
98	may his [sh]are be [dock]ed in your presence;
99	[whatever house] he enters — may (his quarry) slip out the window!"
100	[After] he had cursed the hunter to his heart's content,
101	his heart moved him to curse [the harl]ot Šamhat:
102	"[Co]me, Šamhat — I will fix your destiny,
103	a [des]tiny that will not end for ever and ever.
104	[I will] curse you with the great curse;
105	quick, at once, may my curses close on you!
106	[May you never] make a household of your delight;
107	[may you never(?)] love [ ... ] of your favors(?);
108	[may you never s]it in the young women's parlor;
109	may the ground foul yo[ur] fin[e clothing;]
110	[may the drunkard] smear [your festival gown] in the [dus]t;
111	[may you never own a house ... ] and fair things,
112	[nor ... ] of the potter;
113	[ ... ] may you own nothing;
114	[bed, cha]ir, table — the pride of a household — may none be laid in your house;
115	[may the couch of your de]light be a doorway-bench;
116	[may the crossroa]ds of the highway be your dwelling-places,
117	[the waste plots be] your [sl]eeping-places, the shadow of the rampart your standing-place;
118	[may thornbush and br]iar flay your feet;
119	[may drunkard and s]ober alike slap your cheek;
120	[may ... ] the mistress-of-lawsuits(?) shout against you;
121	may no builder plaster [the roof of your house;]
122	[in your bedroom(?) may] the owl [r]oost;
123	[at your table may] no banquet [ever be l]aid;
127	[ ... pu]rple [fine]ry [ ... ]
128	[ ... ] the lap [ ... ]
129	whose lap [ ... ] —
130	because [you diminished] me, [the clean one,]
131	yes me, the clean one — [you diminish]ed me, out on my steppe!"
132	Šamaš heard the [utter]ance of his mouth,
133	and at once a w[arning-cry] kept sounding to him [fro]m the sky:
