1	Šiduri was an ale-wife who dwelt at the edge of the sea:
2	there she dwelt [ ... ]
3	She had her pot-stands; she had her [vats of gold(?).]
4	She is wrapped in a wrap and v[eiled in a veil.]
5	Gilgameš came roving toward her [ ... ,]
6	clad in a pelt, [carrying(?)] terro[r;]
7	he has the flesh of god[s] in [his] b[ody,]
8	but misery is in [his bel]l[y,]
9	and his face is like one come off a long road.
10	The ale-wife watches him in the distance;
11	talking to her heart she says a word,
12	takin[g] counsel with herself:
13	"Likely this man is a slaughterer of wild bul[ls] —
14	but from where, that he heads straight for my door?"
15	The ale-wife saw him and barred her door;
16	she barred her door and went u[p] to the roof-t[op.]
17	But he — Gilgameš had ear for the [ ... :]
18	he lifted his chin and se[t his face toward her.]
19	Gilgameš sa[id] to her, [to the ale-]wife:
20	"Ale-wife — what did you see [in me, that you barred] your [d]oor,
21	barr[ed] your door [and went up to the ro]of?
22	I will strike the d[oor; I will sm]ash [the bolt!]
24	[ ... i]n the open land."
25	[The ale-wife said to h]im, [to Gilg]ameš:
26	"[ ... I ba]rred my door,
27	[ ... I went up t]o the roof;
28	[ ... ] let me learn [your ro]ad(?)."
29	[Gilgameš] said [t]o her, [to the ale]-wife:
30	"[Enkidu my friend ... ]
31	[We who joined together and went up the mount]ain,
32	[who seized the Bull and slew it,]
33	[who brought down Humbaba, who dwelt in the] Ced[ar Fore]st,
34	[in the passes of the mountains we sle]w lions —"
35	[The ale-wife sa]id [to him,] to Gilgameš:
36	"[If you and Enkid]u were the slayers of the warden,
37	[who brought down Humb]aba, who dwelt in the Cedar Forest,
38	[who in the passes o]f the mountains slew lions,
39	[who seized the Bull and] slew [the Bu]ll that came down from the sky —
40	[why are your chee]ks [hollow,] your face sunk down,
41	[your heart wretched,] your features [spen]t,
42	[misery] in your belly,
43	your face like [one come off a long road,]
44	your face scorched [by frost and sun,]
45	[and — got up in the mask of a lion —] you rove the open lan[d?"]
46	[Gilgameš said] to the ale-[wife:]
47	"[Why should my cheeks not be hollow, my face not sunk down,]
48	[my heart not wretched, my features not spent,]
49	[misery not in my belly,]
50	[my face not like one come off a long road,]
51	[my face not scorched by frost and sun —]
52	[and why, got up in the mask of a lion, should I not rove the open land?]
53	[My friend — swift mule, wild ass of the uplands, panther of the open land!]
54	[Enkidu, my friend — swift mule, wild ass of the uplands, panther of the open land!]
55	[My friend, whom I love so hard, who went with me through every hardship —]
56	[Enkidu, my friend, whom I love so hard, who went with me through every hardship:]
57	[the lot of mankind overtook him.]
58	[Six days and seven nights I wept over him;]
59	[I would not give him up for burial,]
60	[until a worm dropped out of his nose.]
61	[Then I was afraid ... ]
62	[I grew afraid of death, so I rove the open land.]
63	The case of m[y] friend [lies hea]vy(?) on me,
64	[so a long road] I rove [the open la]nd;
65	the case of Enki[du my friend lies heavy(?) on] me,
66	[so a long path] I rove the [op]en land.
67	[How can I keep sil]ent? How can I sta[y quiet?]
68	[My friend, whom I lov]e, has t[urn]ed to clay;
69	Enkidu, my friend, whom I love, has tu[rned to c]lay —
70	[and I — shall I not,] like him, lie down
71	[and never ri]se, for ever and ever?"
72	[Gilga]meš said to her, to the ale-w[ife:]
73	"[No]w then, ale-wife — which is the road to Ūta-napišti?
74	[Wha]t is its landmark? Give it to me!
75	Give me its landmark!
76	If it can be done, let me cross the sea;
77	if it cannot be done, let me rove the open land!"
78	The ale-wife said to him, to Gilgameš:
79	"There has never, Gilgameš, been a crossing-place,
80	and no one, from time out of mind, has ever crossed the sea.
81	The crosser of the sea is Šamaš the fighter — alone:
82	apart from Šamaš, who crosses the sea?
83	The passage is a torment, its way a hard torment,
84	and midway lie the Waters of Death, barring the approaches.
85	Besides, Gilgameš — once you have crossed the sea,
86	when you arrive at the Waters of Death, what will you do then?
87	Yet, Gilgameš, there is Ur-šanabi, the boatman of Ūta-napišti,
88	and the Stone Ones are with him; in the heart of the wood he is trimming a pine.
89	Go, then; let him see your face.
90	If it can be done, cross with him;
91	if it cannot be done, draw back the way you came."
92	Gilgameš, on hearing this,
93	took the hatchet to his side;
94	he drew the sword [from] his [belt;]
95	he stole down upon them;
96	like an arrow he dropped among them.
97	In the heart of the wood his [wa]r-cry rang out.
98	Ur-šanabi saw him — the bright flash of him — and to[ok co]ver(?);
99	he took up the hatchet, and he tr[em]bled before him.
100	But he — Gilgameš struck his head [ ... ,]
101	seized his arm and [pinned(?)] him [ ... ] his chest;
102	and the Stone Ones — who sealed the boat tight,
103	they who had no dread of the Waters of Death —
104	[ ... the wi]de [s]ea —
105	in the water [ ... ] he held back;
106	he smashed the Stone Ones; he flung them into the river.
107	[ ... ] the boat,
108	and [ ... he sa]t down on the shore.
109	[Gilgameš said to him,] to Ur-šanabi the boatman:
110	"[ ... you c]arry off; you snatch away(?)
111	[ ... ] you."
112	Ur-šanabi said to him, to [Gilgameš:]
113	"[W]hy are your cheeks hollow, [your face] sunk d[own,]
114	your heart [wre]tched, [your features] s[pent,]
115	misery [i]n [your belly,]
116	[your] fa[ce] like one come off a long road,
117	[your face] scor[ched by] frost and sun —
118	[and, got up in the ma]sk of a lion, you ro[ve the open land?"]
119	[Gilgameš] said t[o Ur-šanabi the boatman:]
120	"[Why should] my [chee]ks [not be hollow, my face] not [sunk down,]
121	my [heart not wretched, my features] not spe[nt,]
122	[mis]ery not in [my belly,]
123	my face [not like one come off a long roa]d,
124	[my] face not sco[rched by frost and su]n —
125	[and why, got up in the mask of a lion, should] I not [rove the open land?]
126	[My friend — swift mule, wild ass of the uplands, panther of the open land!]
127	[Enkidu, my friend — swift mule, wild ass of the uplands, panther of the open land!]
128	[We who joined together and went up the mountain,]
129	[who seized the Bull and slew it,]
130	[who brought down Humbaba, who dwelt in the Cedar Forest,]
131	i[n the passes of the mountains we slew lions —]
132	my frie[nd, whom I love so hard, who went with me through every hardship —]
133	Enk[idu, my friend, whom I love so hard, who went with me through every hardship:]
134	[the lot of mankind] overto[ok him.]
135	Six da[ys and seven nights I wept over him;]
136	[I would not give him up for burial,]
137	until [a worm dropped out of his nose.]
138	Then I was afr[aid ... ;]
139	[I grew afraid of death, so I rove the open land.]
140	The ca[se of m]y [friend lies heavy(?) on me,]
141	so a [long ro]ad I ro[ve the open land;]
142	[the case of Enkidu my friend lies heavy on me,]
143	so a lon[g path I rove the open land.]
144	[H]ow can I ke[ep silent? How can I stay quiet?]
145	My [f]riend, whom I love, has tur[ned to clay;]
146	[Enkidu, my friend, whom I love, has turned to clay —]
147	and I — shall I not, like him, lie d[own]
148	[and never rise, for ever and ever?"]
149	Gilgameš said to him, to U[r-šanabi the boatman:]
150	"Now, Ur-šanabi — which is [the road to Ūta-napišti?]
151	What is its landmark? Give it to me!
152	Give m[e its landmark!]
153	If it can be done, let me cross the sea;
154	if it cannot be do[ne, let me rove the open land!"]
155	Ur-šanabi said to him, to [Gilgameš:]
156	"Your own hands, Gilgameš, have blocked [your crossing:]
157	you have smashed the Stone Ones; you have flu[ng them into the river.]
158	The Stone Ones are smashed, and the pine is not [stripped.]
159	Take up, Gilgameš, the hatchet in [your] h[and;]
160	go down into the wood and [cut] punting-poles of five rods, [three hundred of them;]
161	dress them; furnish each with a boss;
162	bring [them to me ... ]"
163	Gilgameš, o[n hearing] this,
164	took the hatchet to his side;
165	he dr[ew the sword from his belt;]
166	he went down into the wood and [cut] punting-poles of five rod[s, three hundred of them;]
167	he dressed them; he furnished each with a boss;
168	he brought them [to him ... ]
169	Gilgameš and Ur-šanabi boarded [the boat;]
170	they launched the craft, and the two of them [rode it.]
171	A march of a month and a half — by the third day they had ma[de it;]
172	so Ur-šanabi arrived at the Waters of D[eath.]
173	Ur-šanabi sa[id] to him, [to Gilgameš:]
174	"Stand off(?), Gilgameš! [T]ake the fir[st pole;]
175	your hand must not touch the Waters of Death [ ... !]
176	A second, a third, and a fourth, Gilgameš — take a po[le;]
177	a fifth, a sixth, and a seventh, Gilgameš — take a po[le;]
178	an eighth, a ninth, and a tenth, Gilgameš — take a pol[e;]
179	an eleventh, a twelfth, Gilgameš — take a pol[e!"]
180	At twice sixty Gilgameš had used up the po[les;]
181	then he — [Ur-šanabi] — undid his waist-cloth;
182	Gilgameš stripped off [his] garmen[t,]
183	and on his arms he hoi[sted] it for a yard.
184	Ūta-napišti watches h[im] in the distance;
185	talking to his heart he s[ays] a word,
186	tak[ing] counsel with himself:
187	"Why are the [Stone Ones] of the boat smashed,
188	and one not her master riding [upon her?]
189	He who comes — he is no man of mine,
190	and on the right [ ... ]
191	I keep looking, but he is no [man of] mi[ne;]
192	I keep looking, but he is n[o man of mine;]
193	I keep looking, and [ ... ]"
196	"He is no man of [mine ... ]
197	they make roam(?) [ ... ]
198	The boatman [ ... ]
199	The man I keep wa[tching is not ... ;]
200	the one I keep watching is not [ ... ]
201	Perhaps(?) the open land [ ... ]"
203	The pi[ne(?) ... ]
204	Gilgameš dr[ew near] to the quay [ ... ;]
205	he brought down [ ... ,]
206	and he himself came u[p ... ]
207	Gilgameš sai[d] to h[im, to Ūta-napišti:]
208	"Life and health, Ūta-napišti, son of Ubar-T[utu ... ,]
209	[ ... ] after the Flood, which for [ ... ]
210	the Flood — what for [ ... ?"]
